"target_id","created_by","created_date","updated_by","updated_date","lesson_id","solved_noq","student_id","study_time","subject_id","target_date","target_status","target_type","targeted_noq"
1,hasan.kasikci,"2024-10-08 10:04:56.294000",hasan.kasikci,"2024-10-08 10:06:21.209000",1,100,8,0,93,"2024-10-08 00:00:00",1,0,100
2,hasan.kasikci,"2024-10-08 10:06:35.687000",hasan.kasikci,"2024-10-08 10:11:28.127000",1,0,8,20,0,"2024-10-08 00:00:00",2,1,0
3,hasan.kasikci,"2024-10-08 10:07:11.386000",hasan.kasikci,"2024-10-08 10:11:29.390000",2,0,8,100,0,"2024-10-09 00:00:00",2,1,0
4,hasan.kasikci,"2024-10-08 10:21:34.041000",,,0,0,8,70,5,"2024-10-09 00:00:00",0,1,0
